Author,Word,Count
nephi₁,whom,40
nephi₁,seest,5
nephi₁,is,355
nephi₁,yea,205
nephi₁,which,493
nephi₁,thy,182
nephi₁,thereof,36
nephi₁,thus,55
nephi₁,all,366
nephi₁,also,230
nephi₁,who,188
nephi₁,are,301
nephi₁,unto,878
nephi₁,they,761
nephi₁,wherefore,235
nephi₁,them,463
nephi₁,for,636
nephi₁,these,134
nephi₁,their,379
nephi₁,his,390
nephi₁,he,610
nephi₁,from,242
nephi₁,henceforth,4
nephi₁,other,61
nephi₁,upon,246
nephi₁,it,618
nephi₁,out,132
nephi₁,like,69
nephi₁,there,121
nephi₁,hast,36
nephi₁,forth,115
nephi₁,when,79
nephi₁,according,108
nephi₁,by,202
nephi₁,have,393
nephi₁,were,202
nephi₁,been,110
nephi₁,an,69
nephi₁,should,216
nephi₁,among,81
nephi₁,whose,16
nephi₁,make,75
nephi₁,must,103
nephi₁,or,51
nephi₁,as,206
nephi₁,one,124
nephi₁,cometh,34
nephi₁,himself,34
nephi₁,then,47
nephi₁,if,115
nephi₁,no,100
nephi₁,more,61
nephi₁,those,64
nephi₁,whoso,8
nephi₁,therefore,41
nephi₁,shalt,29
nephi₁,but,165
nephi₁,our,163
nephi₁,we,220
nephi₁,much,37
nephi₁,yet,18
nephi₁,me,296
nephi₁,say,86
nephi₁,notwithstanding,12
nephi₁,my,625
nephi₁,said,128
nephi₁,man,87
nephi₁,how,27
nephi₁,thee,91
nephi₁,was,182
nephi₁,let,25
nephi₁,her,24
nephi₁,therein,6
nephi₁,now,112
nephi₁,thyself,2
nephi₁,every,39
nephi₁,wherein,3
nephi₁,moreover,3
nephi₁,till,3
nephi₁,may,82
nephi₁,without,16
nephi₁,did,275
nephi₁,each,1
nephi₁,had,211
nephi₁,could,25
nephi₁,abundance,5
nephi₁,where,8
nephi₁,upward,1
nephi₁,such,5
nephi₁,thine,12
nephi₁,ever,8
nephi₁,would,89
nephi₁,whence,9
nephi₁,became,5
nephi₁,being,30
nephi₁,anything,3
nephi₁,than,14
nephi₁,thereon,1
nephi₁,some,5
nephi₁,whither,8
nephi₁,inasmuch,14
nephi₁,lest,12
nephi₁,whatsoever,4
nephi₁,wherewith,3
nephi₁,ought,2
nephi₁,whereby,4
nephi₁,oft,2
nephi₁,verily,1
nephi₁,doeth,5
nephi₁,seemeth,1
nephi₁,therewith,2
nephi₁,shouldst,5
nephi₁,didst,1
amaleki,the,76
amaleki,of,49
amaleki,will,2
amaleki,unto,9
amaleki,who,6
amaleki,was,8
amaleki,for,4
amaleki,he,6
amaleki,being,3
amaleki,that,16
amaleki,should,4
amaleki,out,6
amaleki,and,70
amaleki,as,7
amaleki,many,4
amaleki,would,4
amaleki,also,5
amaleki,with,7
amaleki,him,6
amaleki,into,8
amaleki,it,11
amaleki,to,23
amaleki,did,6
amaleki,according,3
amaleki,had,10
amaleki,they,20
amaleki,were,8
amaleki,by,7
amaleki,his,13
amaleki,which,6
amaleki,is,5
amaleki,now,3
amaleki,there,5
amaleki,among,2
amaleki,because,1
amaleki,from,6
amaleki,in,18
amaleki,where,1
amaleki,them,11
amaleki,forth,1
amaleki,their,7
amaleki,no,2
amaleki,could,1
amaleki,but,3
amaleki,be,5
amaleki,are,4
amaleki,not,2
amaleki,these,3
amaleki,an,3
amaleki,one,3
amaleki,upon,1
amaleki,have,3
amaleki,much,2
amaleki,yea,2
amaleki,man,3
amaleki,wherefore,3
amaleki,shall,1
amaleki,all,3
amaleki,cometh,1
amaleki,my,3
amaleki,ye,2
amaleki,your,1
amaleki,again,2
amaleki,make,1
amaron,and,6
amaron,now,1
amaron,the,13
amaron,whatsoever,1
amaron,which,2
amaron,are,1
amaron,in,3
amaron,of,7
amaron,my,3
amaron,it,2
amaron,to,2
amaron,that,5
amaron,had,2
amaron,more,1
amaron,were,1
amaron,for,1
amaron,would,2
amaron,not,6
amaron,he,4
amaron,them,4
amaron,out,2
amaron,from,1
amaron,into,1
amaron,their,2
amaron,yea,1
amaron,should,2
amaron,be,1
amaron,unto,2
amaron,our,1
amaron,wherefore,1
amaron,did,4
amaron,they,1
amaron,but,1
amaron,inasmuch,1
amaron,as,1
amaron,ye,2
amaron,will,1
amaron,shall,1
chemish,now,1
chemish,what,1
chemish,in,2
chemish,the,5
chemish,with,2
chemish,my,1
chemish,for,2
chemish,which,1
chemish,he,4
chemish,that,2
chemish,it,3
chemish,his,1
chemish,and,3
chemish,them,1
chemish,unto,1
chemish,me,1
chemish,we,1
chemish,is,1
chemish,according,1
chemish,to,1
chemish,of,1
chemish,our,1
chemish,make,1
chemish,an,1
enos,it,22
enos,to,26
enos,that,25
enos,my,25
enos,he,10
enos,was,12
enos,me,10
enos,in,27
enos,his,4
enos,and,88
enos,also,4
enos,the,64
enos,of,42
enos,be,13
enos,for,11
enos,will,6
enos,which,7
enos,had,10
enos,into,3
enos,unto,22
enos,him,6
enos,all,7
enos,did,8
enos,yea,1
enos,when,3
enos,there,5
enos,could,1
enos,not,3
enos,wherefore,6
enos,said,6
enos,how,1
enos,is,5
enos,now,3
enos,these,4
enos,out,1
enos,them,11
enos,thus,1
enos,again,1
enos,with,7
enos,many,5
enos,if,3
enos,should,3
enos,by,4
enos,would,6
enos,forth,2
enos,some,1
enos,they,6
enos,our,6
enos,were,7
enos,their,11
enos,according,6
enos,among,2
enos,but,1
enos,became,1
enos,upon,3
enos,till,1
enos,every,1
enos,say,2
enos,from,2
enos,do,1
enos,an,1
enos,must,2
enos,been,1
enos,have,5
enos,shall,9
enos,then,1
enos,ye,4
enos,thy,8
enos,are,1
enos,thee,3
enos,thou,2
enos,shalt,1
enos,because,2
enos,whom,1
enos,hast,1
enos,himself,1
enos,hath,1
enos,as,1
enos,whatsoever,1
enos,like,1
enos,thine,1
jacob,the,719
jacob,of,397
jacob,his,71
jacob,unto,165
jacob,he,76
jacob,man,11
jacob,who,12
jacob,to,177
jacob,for,96
jacob,it,159
jacob,that,251
jacob,and,549
jacob,had,46
jacob,from,23
jacob,wherefore,52
jacob,me,50
jacob,upon,33
jacob,which,90
jacob,these,40
jacob,are,41
jacob,should,33
jacob,be,68
jacob,not,73
jacob,were,27
jacob,said,46
jacob,other,7
jacob,them,72
jacob,my,84
jacob,if,19
jacob,there,11
jacob,was,27
jacob,or,10
jacob,as,26
jacob,much,27
jacob,our,27
jacob,because,40
jacob,been,20
jacob,what,8
jacob,we,45
jacob,also,31
jacob,many,24
jacob,among,7
jacob,they,90
jacob,into,33
jacob,lest,4
jacob,by,23
jacob,in,115
jacob,would,15
jacob,could,8
jacob,all,40
jacob,him,26
jacob,but,37
jacob,now,28
jacob,must,17
jacob,according,25
jacob,their,54
jacob,whoso,1
jacob,forth,41
jacob,thus,10
jacob,let,14
jacob,shall,61
jacob,those,9
jacob,such,3
jacob,like,13
jacob,yea,13
jacob,did,18
jacob,with,36
jacob,your,43
jacob,ye,74
jacob,have,113
jacob,more,14
jacob,than,9
jacob,yet,6
jacob,how,9
jacob,whose,7
jacob,is,40
jacob,notwithstanding,4
jacob,do,16
jacob,hath,20
jacob,some,4
jacob,say,7
jacob,one,8
jacob,may,45
jacob,will,65
jacob,being,5
jacob,make,4
jacob,an,5
jacob,ought,1
jacob,cometh,8
jacob,out,10
jacob,whom,1
jacob,when,7
jacob,no,12
jacob,neither,3
jacob,every,2
jacob,whatsoever,1
jacob,anything,1
jacob,becometh,1
jacob,then,6
jacob,himself,3
jacob,ever,3
jacob,again,17
jacob,thou,19
jacob,thee,8
jacob,thy,5
jacob,became,2
jacob,thereof,38
jacob,therefore,1
jacob,once,5
jacob,whence,1
jacob,didst,1
jacob,hence,1
jacob,whither,1
jarom,now,2
jarom,according,5
jarom,to,19
jarom,the,71
jarom,of,44
jarom,my,8
jarom,that,10
jarom,our,9
jarom,may,2
jarom,be,6
jarom,and,56
jarom,as,7
jarom,these,3
jarom,are,7
jarom,for,10
jarom,wherefore,3
jarom,it,7
jarom,must,1
jarom,but,5
jarom,shall,2
jarom,not,9
jarom,what,1
jarom,could,1
jarom,more,3
jarom,than,2
jarom,have,5
jarom,they,19
jarom,say,1
jarom,unto,7
jarom,yea,1
jarom,me,1
jarom,is,2
jarom,much,3
jarom,should,3
jarom,among,2
jarom,because,1
jarom,their,6
jarom,them,8
jarom,yet,1
jarom,from,3
jarom,there,1
jarom,many,4
jarom,who,1
jarom,all,4
jarom,with,3
jarom,which,4
jarom,had,3
jarom,in,11
jarom,neither,1
jarom,did,7
jarom,were,5
jarom,upon,4
jarom,also,2
jarom,would,1
jarom,we,2
jarom,out,1
jarom,or,2
jarom,whatsoever,1
jarom,became,1
jarom,every,1
jarom,till,1
jarom,thus,1
jarom,being,2
jarom,was,3
jarom,he,2
jarom,if,1
jarom,into,2
jarom,him,1
jarom,by,1
jarom,do,1
jarom,ye,3
jarom,other,1
jarom,those,1
jarom,inasmuch,1
jarom,will,1
omni,it,2
omni,to,6
omni,that,5
omni,being,1
omni,by,1
omni,my,5
omni,should,2
omni,upon,2
omni,these,2
omni,our,1
omni,wherefore,1
omni,in,2
omni,would,1
omni,ye,1
omni,much,1
omni,with,1
omni,the,8
omni,from,1
omni,into,1
omni,of,6
omni,their,1
omni,but,1
omni,man,1
omni,and,14
omni,have,2
omni,not,1
omni,as,1
omni,ought,1
omni,had,5
omni,we,2
omni,many,2
omni,yea,1
omni,according,1
omni,them,1
omni,make,1
omni,an,1
,of,2
